Kategorie: Alle Kategorien

Woche,Stepstone: (Deutschland)
2010-11-28,30
2010-12-05,30
2010-12-12,31
2010-12-19,24
2010-12-26,25
2011-01-02,42
2011-01-09,46
2011-01-16,51
2011-01-23,49
2011-01-30,47
2011-02-06,45
2011-02-13,44
2011-02-20,49
2011-02-27,49
2011-03-06,47
2011-03-13,44
2011-03-20,49
2011-03-27,45
2011-04-03,45
2011-04-10,48
2011-04-17,42
2011-04-24,44
2011-05-01,49
2011-05-08,50
2011-05-15,52
2011-05-22,52
2011-05-29,42
2011-06-05,50
2011-06-12,49
2011-06-19,49
2011-06-26,54
2011-07-03,52
2011-07-10,52
2011-07-17,52
2011-07-24,51
2011-07-31,54
2011-08-07,53
2011-08-14,55
2011-08-21,55
2011-08-28,53
2011-09-04,51
2011-09-11,54
2011-09-18,54
2011-09-25,57
2011-10-02,53
2011-10-09,50
2011-10-16,54
2011-10-23,52
2011-10-30,54
2011-11-06,74
2011-11-13,86
2011-11-20,95
2011-11-27,100
2011-12-04,82
2011-12-11,63
2011-12-18,54
2011-12-25,68
2012-01-01,98
2012-01-08,98
2012-01-15,95
2012-01-22,99
2012-01-29,83
2012-02-05,82
2012-02-12,84
2012-02-19,80
2012-02-26,89
2012-03-04,81
2012-03-11,87
2012-03-18,80
2012-03-25,77
2012-04-01,68
2012-04-08,71
2012-04-15,76
2012-04-22,77
2012-04-29,72
2012-05-06,77
2012-05-13,66
2012-05-20,75
2012-05-27,71
2012-06-03,72
2012-06-10,76
2012-06-17,77
2012-06-24,76
2012-07-01,75
2012-07-08,79
2012-07-15,81
2012-07-22,79
2012-07-29,76
2012-08-05,80
2012-08-12,81
2012-08-19,78
2012-08-26,81
2012-09-02,81
2012-09-09,78
2012-09-16,73
2012-09-23,77
2012-09-30,72
2012-10-07,79
2012-10-14,80
2012-10-21,78
2012-10-28,75
2012-11-04,76
2012-11-11,74
2012-11-18,79
2012-11-25,73
2012-12-02,69
2012-12-09,67
2012-12-16,59
2012-12-23,40
2012-12-30,61
2013-01-06,84
2013-01-13,82
2013-01-20,82
2013-01-27,80
2013-02-03,84
2013-02-10,83
2013-02-17,85
2013-02-24,91
2013-03-03,81
2013-03-10,82
2013-03-17,85
2013-03-24,76
2013-03-31,79
2013-04-07,88
2013-04-14,86
2013-04-21,75
2013-04-28,71
2013-05-05,70
2013-05-12,78
2013-05-19,73
2013-05-26,76
2013-06-02,77
2013-06-09,93
2013-06-16,75
2013-06-23,82
2013-06-30,84
2013-07-07,80
2013-07-14,81
2013-07-21,77
2013-07-28,84
2013-08-04,83
2013-08-11,83
2013-08-18,89
2013-08-25,81
2013-09-01,84
2013-09-08,83
2013-09-15,79
2013-09-22,80
2013-09-29,79
2013-10-06,82
2013-10-13,84
2013-10-20,84
2013-10-27,78
2013-11-03,88
2013-11-10,82
2013-11-17,79
2013-11-24,76
2013-12-01,68
2013-12-08,72
2013-12-15,66
2013-12-22,37
2013-12-29,58
2014-01-05,80
2014-01-12,85
2014-01-19,81
2014-01-26,85
2014-02-02,80
2014-02-09,83
2014-02-16,88
2014-02-23,84
2014-03-02,78
2014-03-09,85
2014-03-16,91
2014-03-23,86
2014-03-30,86
2014-04-06,89
2014-04-13,81
2014-04-20,77
2014-04-27,77
2014-05-04,79
2014-05-11,85
2014-05-18,82
2014-05-25,72
2014-06-01,81
2014-06-08,76
2014-06-15,75
2014-06-22,89
2014-06-29,79
2014-07-06,80
2014-07-13,78
2014-07-20,79
2014-07-27,82
2014-08-03,87
2014-08-10,86
2014-08-17,98
2014-08-24,88
2014-08-31,83
2014-09-07,80
2014-09-14,80
2014-09-21,80
2014-09-28,76
2014-10-05,82
2014-10-12,77
2014-10-19,88
2014-10-26,78
2014-11-02,76
2014-11-09,74
2014-11-16,80
2014-11-23,73
2014-11-30,73
2014-12-07,71
2014-12-14,62
2014-12-21,37
2014-12-28,44
2015-01-04,78
2015-01-11,82
2015-01-18,80
2015-01-25,78
2015-02-01,83
2015-02-08,80
2015-02-15,81
2015-02-22,82
2015-03-01,80
2015-03-08,83
2015-03-15,78
2015-03-22,77
2015-03-29,70
2015-04-05,72
2015-04-12,76
2015-04-19,76
2015-04-26,69
2015-05-03,73
2015-05-10,66
2015-05-17,74
2015-05-24,70
2015-05-31,70
2015-06-07,78
2015-06-14,74
2015-06-21,76
2015-06-28,69
2015-07-05,73
2015-07-12,75
2015-07-19,75
2015-07-26,79
2015-08-02,68
2015-08-09,67
2015-08-16,71
2015-08-23,70
2015-08-30,77
2015-09-06,70
2015-09-13,72
2015-09-20,70
2015-09-27,72
2015-10-04,76
2015-10-11,70
2015-10-18,71
2015-10-25,66
2015-11-01,71
2015-11-08,69
2015-11-15,72
2015-11-22,63
2015-11-29,63
