Kategorie: Alle Kategorien

Woche,Arbeitsamt: (Deutschland)
2010-11-28,50
2010-12-05,50
2010-12-12,52
2010-12-19,46
2010-12-26,49
2011-01-02,95
2011-01-09,97
2011-01-16,100
2011-01-23,86
2011-01-30,92
2011-02-06,82
2011-02-13,83
2011-02-20,89
2011-02-27,97
2011-03-06,85
2011-03-13,88
2011-03-20,92
2011-03-27,93
2011-04-03,92
2011-04-10,83
2011-04-17,66
2011-04-24,74
2011-05-01,86
2011-05-08,84
2011-05-15,87
2011-05-22,83
2011-05-29,73
2011-06-05,79
2011-06-12,74
2011-06-19,78
2011-06-26,87
2011-07-03,87
2011-07-10,84
2011-07-17,83
2011-07-24,84
2011-07-31,81
2011-08-07,77
2011-08-14,82
2011-08-21,74
2011-08-28,89
2011-09-04,78
2011-09-11,80
2011-09-18,75
2011-09-25,83
2011-10-02,75
2011-10-09,82
2011-10-16,75
2011-10-23,79
2011-10-30,69
2011-11-06,80
2011-11-13,76
2011-11-20,61
2011-11-27,60
2011-12-04,57
2011-12-11,58
2011-12-18,44
2011-12-25,44
2012-01-01,69
2012-01-08,70
2012-01-15,68
2012-01-22,73
2012-01-29,70
2012-02-05,65
2012-02-12,64
2012-02-19,64
2012-02-26,74
2012-03-04,66
2012-03-11,60
2012-03-18,64
2012-03-25,65
2012-04-01,50
2012-04-08,57
2012-04-15,63
2012-04-22,59
2012-04-29,51
2012-05-06,55
2012-05-13,49
2012-05-20,57
2012-05-27,54
2012-06-03,54
2012-06-10,62
2012-06-17,63
2012-06-24,65
2012-07-01,64
2012-07-08,62
2012-07-15,66
2012-07-22,58
2012-07-29,69
2012-08-05,70
2012-08-12,59
2012-08-19,61
2012-08-26,69
2012-09-02,65
2012-09-09,62
2012-09-16,60
2012-09-23,84
2012-09-30,79
2012-10-07,73
2012-10-14,71
2012-10-21,59
2012-10-28,52
2012-11-04,61
2012-11-11,58
2012-11-18,56
2012-11-25,63
2012-12-02,54
2012-12-09,51
2012-12-16,46
2012-12-23,32
2012-12-30,43
2013-01-06,66
2013-01-13,65
2013-01-20,68
2013-01-27,73
2013-02-03,82
2013-02-10,80
2013-02-17,79
2013-02-24,86
2013-03-03,78
2013-03-10,75
2013-03-17,67
2013-03-24,57
2013-03-31,61
2013-04-07,67
2013-04-14,59
2013-04-21,57
2013-04-28,50
2013-05-05,45
2013-05-12,58
2013-05-19,48
2013-05-26,54
2013-06-02,72
2013-06-09,76
2013-06-16,72
2013-06-23,82
2013-06-30,68
2013-07-07,62
2013-07-14,60
2013-07-21,58
2013-07-28,65
2013-08-04,61
2013-08-11,59
2013-08-18,66
2013-08-25,62
2013-09-01,67
2013-09-08,59
2013-09-15,57
2013-09-22,62
2013-09-29,56
2013-10-06,61
2013-10-13,69
2013-10-20,67
2013-10-27,64
2013-11-03,65
2013-11-10,58
2013-11-17,52
2013-11-24,52
2013-12-01,50
2013-12-08,47
2013-12-15,46
2013-12-22,27
2013-12-29,39
2014-01-05,64
2014-01-12,64
2014-01-19,64
2014-01-26,66
2014-02-02,62
2014-02-09,59
2014-02-16,69
2014-02-23,78
2014-03-02,75
2014-03-09,66
2014-03-16,65
2014-03-23,69
2014-03-30,69
2014-04-06,54
2014-04-13,43
2014-04-20,47
2014-04-27,48
2014-05-04,55
2014-05-11,58
2014-05-18,53
2014-05-25,47
2014-06-01,56
2014-06-08,44
2014-06-15,53
2014-06-22,63
2014-06-29,64
2014-07-06,60
2014-07-13,60
2014-07-20,59
2014-07-27,63
2014-08-03,53
2014-08-10,48
2014-08-17,53
2014-08-24,55
2014-08-31,55
2014-09-07,48
2014-09-14,55
2014-09-21,54
2014-09-28,57
2014-10-05,55
2014-10-12,52
2014-10-19,52
2014-10-26,52
2014-11-02,52
2014-11-09,46
2014-11-16,44
2014-11-23,44
2014-11-30,43
2014-12-07,35
2014-12-14,39
2014-12-21,22
2014-12-28,32
2015-01-04,49
2015-01-11,54
2015-01-18,50
2015-01-25,48
2015-02-01,48
2015-02-08,45
2015-02-15,63
2015-02-22,70
2015-03-01,70
2015-03-08,64
2015-03-15,64
2015-03-22,64
2015-03-29,61
2015-04-05,51
2015-04-12,51
2015-04-19,56
2015-04-26,43
2015-05-03,45
2015-05-10,34
2015-05-17,44
2015-05-24,41
2015-05-31,38
2015-06-07,42
2015-06-14,47
2015-06-21,47
2015-06-28,45
2015-07-05,44
2015-07-12,48
2015-07-19,58
2015-07-26,62
2015-08-02,52
2015-08-09,52
2015-08-16,56
2015-08-23,55
2015-08-30,57
2015-09-06,48
2015-09-13,47
2015-09-20,42
2015-09-27,49
2015-10-04,41
2015-10-11,40
2015-10-18,39
2015-10-25,43
2015-11-01,42
2015-11-08,43
2015-11-15,39
2015-11-22,37
2015-11-29,45
