Kategorie: Alle Kategorien

Woche,wirtschaftskrise: (Deutschland)
2014-11-30,78
2014-12-07,65
2014-12-14,82
2014-12-21,30
2014-12-28,37
2015-01-04,49
2015-01-11,67
2015-01-18,53
2015-01-25,52
2015-02-01,59
2015-02-08,65
2015-02-15,47
2015-02-22,94
2015-03-01,67
2015-03-08,73
2015-03-15,82
2015-03-22,59
2015-03-29,35
2015-04-05,35
2015-04-12,61
2015-04-19,56
2015-04-26,58
2015-05-03,62
2015-05-10,43
2015-05-17,58
2015-05-24,48
2015-05-31,63
2015-06-07,56
2015-06-14,61
2015-06-21,57
2015-06-28,57
2015-07-05,46
2015-07-12,40
2015-07-19,34
2015-07-26,29
2015-08-02,21
2015-08-09,34
2015-08-16,42
2015-08-23,63
2015-08-30,52
2015-09-06,57
2015-09-13,64
2015-09-20,61
2015-09-27,51
2015-10-04,42
2015-10-11,50
2015-10-18,32
2015-10-25,50
2015-11-01,50
2015-11-08,41
2015-11-15,47
2015-11-22,65
2015-11-29,55
2015-12-06,57
2015-12-13,34
2015-12-20,42
2015-12-27,44
2016-01-03,73
2016-01-10,86
2016-01-17,75
2016-01-24,72
2016-01-31,52
2016-02-07,75
2016-02-14,69
2016-02-21,62
2016-02-28,58
2016-03-06,64
2016-03-13,47
2016-03-20,46
2016-03-27,30
2016-04-03,50
2016-04-10,68
2016-04-17,62
2016-04-24,64
2016-05-01,44
2016-05-08,52
2016-05-15,51
2016-05-22,53
2016-05-29,59
2016-06-05,59
2016-06-12,56
2016-06-19,59
2016-06-26,34
2016-07-03,33
2016-07-10,25
2016-07-17,31
2016-07-24,21
2016-07-31,26
2016-08-07,27
2016-08-14,27
2016-08-21,51
2016-08-28,42
2016-09-04,35
2016-09-11,48
2016-09-18,43
2016-09-25,44
2016-10-02,43
2016-10-09,38
2016-10-16,35
2016-10-23,37
2016-10-30,50
2016-11-06,64
2016-11-13,53
2016-11-20,57
2016-11-27,50
2016-12-04,59
2016-12-11,47
2016-12-18,33
2016-12-25,34
2017-01-01,32
2017-01-08,47
2017-01-15,55
2017-01-22,42
2017-01-29,33
2017-02-05,51
2017-02-12,56
2017-02-19,65
2017-02-26,46
2017-03-05,52
2017-03-12,56
2017-03-19,48
2017-03-26,49
2017-04-02,42
2017-04-09,38
2017-04-16,42
2017-04-23,53
2017-04-30,49
2017-05-07,52
2017-05-14,43
2017-05-21,37
2017-05-28,50
2017-06-04,30
2017-06-11,44
2017-06-18,40
2017-06-25,39
2017-07-02,25
2017-07-09,31
2017-07-16,20
2017-07-23,32
2017-07-30,25
2017-08-06,22
2017-08-13,29
2017-08-20,26
2017-08-27,36
2017-09-03,39
2017-09-10,31
2017-09-17,26
2017-09-24,34
2017-10-01,32
2017-10-08,45
2017-10-15,40
2017-10-22,29
2017-10-29,35
2017-11-05,45
2017-11-12,54
2017-11-19,51
2017-11-26,51
2017-12-03,55
2017-12-10,50
2017-12-17,37
2017-12-24,19
2017-12-31,51
2018-01-07,39
2018-01-14,59
2018-01-21,35
2018-01-28,35
2018-02-04,44
2018-02-11,48
2018-02-18,54
2018-02-25,37
2018-03-04,40
2018-03-11,54
2018-03-18,45
2018-03-25,26
2018-04-01,28
2018-04-08,33
2018-04-15,55
2018-04-22,41
2018-04-29,40
2018-05-06,28
2018-05-13,47
2018-05-20,49
2018-05-27,52
2018-06-03,60
2018-06-10,40
2018-06-17,34
2018-06-24,26
2018-07-01,30
2018-07-08,37
2018-07-15,24
2018-07-22,34
2018-07-29,18
2018-08-05,32
2018-08-12,66
2018-08-19,53
2018-08-26,46
2018-09-02,51
2018-09-09,55
2018-09-16,54
2018-09-23,56
2018-09-30,62
2018-10-07,57
2018-10-14,47
2018-10-21,64
2018-10-28,62
2018-11-04,64
2018-11-11,70
2018-11-18,64
2018-11-25,68
2018-12-02,62
2018-12-09,50
2018-12-16,48
2018-12-23,47
2018-12-30,34
2019-01-06,54
2019-01-13,48
2019-01-20,56
2019-01-27,47
2019-02-03,53
2019-02-10,59
2019-02-17,56
2019-02-24,43
2019-03-03,58
2019-03-10,56
2019-03-17,67
2019-03-24,55
2019-03-31,42
2019-04-07,47
2019-04-14,42
2019-04-21,43
2019-04-28,39
2019-05-05,57
2019-05-12,64
2019-05-19,46
2019-05-26,29
2019-06-02,40
2019-06-09,30
2019-06-16,35
2019-06-23,47
2019-06-30,43
2019-07-07,63
2019-07-14,46
2019-07-21,37
2019-07-28,41
2019-08-04,64
2019-08-11,100
2019-08-18,54
2019-08-25,90
2019-09-01,76
2019-09-08,65
2019-09-15,70
2019-09-22,90
2019-09-29,71
2019-10-06,64
2019-10-13,61
2019-10-20,85
2019-10-27,77
2019-11-03,77
2019-11-10,82
2019-11-17,75
2019-11-24,64
