series,transform,reg,adf_stat,pvalue,used_lag,nobs_eff,nobs_raw,crit_1pct,crit_5pct,crit_10pct,reject_1pct,reject_5pct,reject_10pct
stepstone_W12,level,n,-0.9830860465691201,0.29490733788461077,12,127,140,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,False,False,False
stepstone_W12,level,c,-1.6888855622063672,0.43684787572464195,13,126,140,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,False,False,False
stepstone_W12,level,ct,-2.5110771780153653,0.3224464188000824,13,126,140,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,False,False,False
stepstone_W12,diff1,n,-3.2242235150426137,0.0012691920618048461,11,127,139,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,True,True,True
stepstone_W12,diff1,c,-3.2985782904727268,0.014942144678823965,11,127,139,-3.482920063655088,-2.884580323367261,-2.5790575441750883,False,True,True
stepstone_W12,diff1,ct,-3.2441366937328717,0.07596020634691394,11,127,139,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,False,True
indeed_W12,level,n,0.5802600961349934,0.8426643299145322,13,126,140,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,False,False,False
indeed_W12,level,c,-1.7090134419604261,0.4264745662495232,13,126,140,-3.4833462346078936,-2.8847655969877666,-2.5791564575459813,False,False,False
indeed_W12,level,ct,-2.2392922442222924,0.46777522280859807,13,126,140,-4.032477692253856,-3.4459262881778225,-3.1478290513383484,False,False,False
indeed_W12,diff1,n,-2.4965158911331953,0.012121598362998701,12,126,139,-2.583712902494331,-1.9433280926185879,-1.6148703337372574,False,True,True
indeed_W12,diff1,c,-3.4111650617295304,0.010584093177618627,11,127,139,-3.482920063655088,-2.884580323367261,-2.5790575441750883,False,True,True
indeed_W12,diff1,ct,-3.586304990617335,0.0310232419959066,11,127,139,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,True,True
jobbörse_W12,level,n,-1.6045597311612576,0.10238836122912509,12,127,140,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,False,False,False
jobbörse_W12,level,c,-0.238801976501216,0.9337356995818428,12,127,140,-3.482920063655088,-2.884580323367261,-2.5790575441750883,False,False,False
jobbörse_W12,level,ct,-3.1492264680150996,0.0950018091558208,12,127,140,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,False,True
jobbörse_W12,diff1,n,-3.060808184823056,0.0021871433367940795,11,127,139,-2.5835695988591976,-1.9433083482922873,-1.6148845473038977,True,True,True
jobbörse_W12,diff1,c,-3.497255781375779,0.008057851740645699,11,127,139,-3.482920063655088,-2.884580323367261,-2.5790575441750883,True,True,True
jobbörse_W12,diff1,ct,-3.520877399694765,0.03720935705523424,11,127,139,-4.031882284616695,-3.44564246299154,-3.147663331295954,False,True,True
