Kategorie: Alle Kategorien

Woche,rezession: (Deutschland)
2010-11-28,18
2010-12-05,17
2010-12-12,15
2010-12-19,14
2010-12-26,10
2011-01-02,19
2011-01-09,25
2011-01-16,21
2011-01-23,20
2011-01-30,21
2011-02-06,18
2011-02-13,21
2011-02-20,21
2011-02-27,24
2011-03-06,18
2011-03-13,31
2011-03-20,20
2011-03-27,18
2011-04-03,21
2011-04-10,18
2011-04-17,16
2011-04-24,15
2011-05-01,13
2011-05-08,21
2011-05-15,26
2011-05-22,20
2011-05-29,18
2011-06-05,20
2011-06-12,14
2011-06-19,15
2011-06-26,16
2011-07-03,17
2011-07-10,17
2011-07-17,16
2011-07-24,17
2011-07-31,52
2011-08-07,70
2011-08-14,65
2011-08-21,50
2011-08-28,29
2011-09-04,55
2011-09-11,39
2011-09-18,33
2011-09-25,50
2011-10-02,34
2011-10-09,42
2011-10-16,25
2011-10-23,29
2011-10-30,32
2011-11-06,100
2011-11-13,34
2011-11-20,28
2011-11-27,39
2011-12-04,45
2011-12-11,42
2011-12-18,29
2011-12-25,28
2012-01-01,24
2012-01-08,35
2012-01-15,48
2012-01-22,28
2012-01-29,26
2012-02-05,23
2012-02-12,25
2012-02-19,28
2012-02-26,27
2012-03-04,22
2012-03-11,26
2012-03-18,19
2012-03-25,19
2012-04-01,14
2012-04-08,17
2012-04-15,21
2012-04-22,25
2012-04-29,27
2012-05-06,30
2012-05-13,22
2012-05-20,26
2012-05-27,18
2012-06-03,25
2012-06-10,28
2012-06-17,24
2012-06-24,20
2012-07-01,22
2012-07-08,16
2012-07-15,26
2012-07-22,24
2012-07-29,21
2012-08-05,22
2012-08-12,22
2012-08-19,19
2012-08-26,19
2012-09-02,24
2012-09-09,21
2012-09-16,23
2012-09-23,24
2012-09-30,20
2012-10-07,23
2012-10-14,24
2012-10-21,24
2012-10-28,19
2012-11-04,32
2012-11-11,55
2012-11-18,29
2012-11-25,25
2012-12-02,27
2012-12-09,27
2012-12-16,23
2012-12-23,33
2012-12-30,33
2013-01-06,24
2013-01-13,25
2013-01-20,19
2013-01-27,22
2013-02-03,17
2013-02-10,21
2013-02-17,21
2013-02-24,20
2013-03-03,20
2013-03-10,15
2013-03-17,18
2013-03-24,21
2013-03-31,17
2013-04-07,19
2013-04-14,17
2013-04-21,22
2013-04-28,21
2013-05-05,18
2013-05-12,26
2013-05-19,20
2013-05-26,17
2013-06-02,18
2013-06-09,21
2013-06-16,17
2013-06-23,15
2013-06-30,17
2013-07-07,17
2013-07-14,14
2013-07-21,16
2013-07-28,13
2013-08-04,11
2013-08-11,20
2013-08-18,13
2013-08-25,13
2013-09-01,16
2013-09-08,16
2013-09-15,12
2013-09-22,16
2013-09-29,25
2013-10-06,17
2013-10-13,17
2013-10-20,16
2013-10-27,16
2013-11-03,19
2013-11-10,17
2013-11-17,18
2013-11-24,17
2013-12-01,19
2013-12-08,20
2013-12-15,21
2013-12-22,12
2013-12-29,12
2014-01-05,16
2014-01-12,20
2014-01-19,18
2014-01-26,15
2014-02-02,17
2014-02-09,19
2014-02-16,20
2014-02-23,15
2014-03-02,16
2014-03-09,18
2014-03-16,19
2014-03-23,19
2014-03-30,17
2014-04-06,17
2014-04-13,14
2014-04-20,15
2014-04-27,24
2014-05-04,21
2014-05-11,17
2014-05-18,20
2014-05-25,18
2014-06-01,20
2014-06-08,17
2014-06-15,16
2014-06-22,15
2014-06-29,19
2014-07-06,14
2014-07-13,14
2014-07-20,14
2014-07-27,13
2014-08-03,21
2014-08-10,17
2014-08-17,15
2014-08-24,17
2014-08-31,16
2014-09-07,17
2014-09-14,18
2014-09-21,17
2014-09-28,16
2014-10-05,32
2014-10-12,25
2014-10-19,22
2014-10-26,18
2014-11-02,31
2014-11-09,28
2014-11-16,33
2014-11-23,26
2014-11-30,26
2014-12-07,25
2014-12-14,21
2014-12-21,24
2014-12-28,17
2015-01-04,18
2015-01-11,25
2015-01-18,24
2015-01-25,26
2015-02-01,21
2015-02-08,22
2015-02-15,20
2015-02-22,18
2015-03-01,18
2015-03-08,22
2015-03-15,19
2015-03-22,17
2015-03-29,16
2015-04-05,17
2015-04-12,18
2015-04-19,21
2015-04-26,18
2015-05-03,17
2015-05-10,14
2015-05-17,18
2015-05-24,14
2015-05-31,15
2015-06-07,17
2015-06-14,15
2015-06-21,15
2015-06-28,16
2015-07-05,17
2015-07-12,17
2015-07-19,15
2015-07-26,13
2015-08-02,13
2015-08-09,13
2015-08-16,13
2015-08-23,19
2015-08-30,15
2015-09-06,13
2015-09-13,19
2015-09-20,14
2015-09-27,15
2015-10-04,16
2015-10-11,15
2015-10-18,18
2015-10-25,15
2015-11-01,17
2015-11-08,19
2015-11-15,19
2015-11-22,19
2015-11-29,18
